Number,Description,File_name,foodPic,ID,Location,Zipcode,Restaurant_Name,Offer_Delivery,Phone,Price,EatStreetAPIKey,Dietary,Type_of_meal,Genre,Class,Item1,Item2,Item3,Item4,Item5,Item6,Item7,Item8,Item9,Item10,Item11,Item12
1,Almond_and_Nutella_Beignet,Almond_and_Nutella_Beignet.jpg,Beignet/Almond_and_Nutella_Beignet.jpg,1,"307 Main St, Kansas City, MO 64105",64105,Beignet,0,8164720777,$4.00,,,Dessert,French,Dessert,sweet ,bread,beignet,donut,almonds,nutella,,,,,,
2,Armstrong_Po_Boy_Sandwich,Armstrong_Po_Boy_Sandwich.jpg,Beignet/Armstrong_Po_Boy_Sandwich.jpg,2,"307 Main St, Kansas City, MO 64105",64105,Beignet,0,8164720777,$11.50,,,Lunch,American,Sandwich,bread,shrimp,fried,parmesan,lettuce,tomatoes,,,,,,
3,Beignet,Beignet.jpg,Beignet/Beignet.jpg,3,"307 Main St, Kansas City, MO 64105",64105,Beignet,0,8164720777,$4.00,,,"Breakfast, Dessert","Breakfast, Dessert, French","Breakfast, Dessert, Bakery",sweet ,bread,beignet,donut,powdered sugar,,,,,,,
4,Brie_Cinnamon_Apples_and_Bacon_Crepe,Brie_Cinnamon_Apples_and_Bacon_Crepe.jpg,Beignet/Brie_Cinnamon_Apples_and_Bacon_Crepe.jpg,4,"307 Main St, Kansas City, MO 64105",64105,Beignet,0,8164720777,$10.25,,,"Breakfast, Dessert","Breakfast, Dessert, French","Breakfast, Dessert",sweet ,bread,crepes,pancakes,brie,cinnamon apples,bacon,,,,,
5,Cajun_Beignet,Cajun_Beignet.jpg,Beignet/Cajun_Beignet.jpg,5,"307 Main St, Kansas City, MO 64105",64105,Beignet,0,8164720777,$6.00,,,Breakfast,"Breakfast, French, Cajun","Breakfast, Bread",sweet ,bread,beignet,spicy,cajun,chicken,,,,,,
6,Chocolate_and_Bavarian_Cream_Beignet,Chocolate_and_Bavarian_Cream_Beignet.jpg,Beignet/Chocolate_and_Bavarian_Cream_Beignet.jpg,6,"307 Main St, Kansas City, MO 64105",64105,Beignet,0,8164720777,$4.00,,,"Breakfast, Dessert","Breakfast, Dessert, French","Breakfast, Dessert, Bakery",sweet ,bread,beignet,donut,chocolate,bavarian cream,powdered sugar,,,,,
7,Crawfish_Scampi_Po_Boy_Sandwich,Crawfish_Scampi_Po_Boy_Sandwich.jpg,Beignet/Crawfish_Scampi_Po_Boy_Sandwich.jpg,7,"307 Main St, Kansas City, MO 64105",64105,Beignet,0,8164720777,$9.95,,,Lunch,American,Sandwich,lettuce,tomatoes,shrimp,bread,Remoulade,provolone,sweet potato fries,,,,,
8,Crusty_Crab_Beignet,Crusty_Crab_Beignet.jpg,Beignet/Crusty_Crab_Beignet.jpg,8,"307 Main St, Kansas City, MO 64105",64105,Beignet,0,8164720777,$6.00,,,Lunch,American,"Breakfast, Bread",crab,bread,beignet,bacon,goat cheese,,,,,,,
9,Daddy_Duke_Po_Boy_Sandwich,Daddy_Duke_Po_Boy_Sandwich.jpg,Beignet/Daddy_Duke_Po_Boy_Sandwich.jpg,9,"307 Main St, Kansas City, MO 64105",64105,Beignet,0,8164720777,$8.50,,,Lunch,American,Sandwich,lettuce,tomatoes,sausage,bread,Remoulade,provolone,cajun,butter,pork,,,
10,Fried_Shrimp_Po_Boy_Sandwich,Fried_Shrimp_Po_Boy_Sandwich.jpg,Beignet/Fried_Shrimp_Po_Boy_Sandwich.jpg,10,"307 Main St, Kansas City, MO 64105",64105,Beignet,0,8164720777,$8.50,,,Lunch,American,Sandwich,lettuce,tomatoes,shrimp,bread,Remoulade,provolone,fried ,,,,,
11,Fried_Shrimp_Po_Boy_Sandwich1,Fried_Shrimp_Po_Boy_Sandwich1.jpg,Beignet/Fried_Shrimp_Po_Boy_Sandwich1.jpg,11,"307 Main St, Kansas City, MO 64105",64105,Beignet,0,8164720777,$8.50,,,Lunch,American,Sandwich,lettuce,tomatoes,shrimp,bread,Remoulade,provolone,fried ,,,,,
12,Jambalaya,Jambalaya.jpg,Beignet/Jambalaya.jpg,12,"307 Main St, Kansas City, MO 64105",64105,Beignet,0,8164720777,$9.94,,,Lunch,Cajun,Dessert,rice,chicken,tomatoes,shrimp,sausage,celery,,,,,,
13,Kitchen_Sink_Po_Boy_Sandwich,Kitchen_Sink_Po_Boy_Sandwich.jpg,Beignet/Kitchen_Sink_Po_Boy_Sandwich.jpg,13,"307 Main St, Kansas City, MO 64105",64105,Beignet,0,8164720777,$15.95,,,Lunch,Cajun,Sandwich,lettuce,tomatoes,shrimp,bread,Remoulade,provolone,sausage,crawfish ,catfish,,,
14,Lemon_and_Raspberry_Beignet,Lemon_and_Raspberry_Beignet.jpg,Beignet/Lemon_and_Raspberry_Beignet.jpg,14,"307 Main St, Kansas City, MO 64105",64105,Beignet,0,8164720777,$4.00,,,"Breakfast, Dessert","Breakfast, Dessert, French","Breakfast, Dessert, Bakery",sweet ,bread,beignet,donut,lemons,raspberries,powdered sugar,,,,,
